Year,Week,From,To,AandB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,48,20/11/2022,26/11/2022,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,49,27/11/2022,03/12/2022,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,50,04/12/2022,10/12/2022,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,51,11/12/2022,17/12/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,52,18/12/2022,24/12/2022,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,53,25/12/2022,31/12/2022,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,01/01/2023,07/01/2023,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,08/01/2023,14/01/2023,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,15/01/2023,21/01/2023,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,22/01/2023,28/01/2023,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,5,29/01/2023,04/02/2023,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,05/02/2023,11/02/2023,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7,12/02/2023,18/02/2023,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,19/02/2023,25/02/2023,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9,26/02/2023,04/03/2023,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,10,05/03/2023,11/03/2023,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,12/03/2023,18/03/2023,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,19/03/2023,25/03/2023,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,13,26/03/2023,01/04/2023,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,14,02/04/2023,08/04/2023,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,15,09/04/2023,15/04/2023,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,16,16/04/2023,22/04/2023,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
